did	duration_rate	gap_xi	gap_sigma	gap_mu
did:plc:22f7airvuif7friv7shlqv3t	0.00749405959215946	0.573934983104017	3403.72544715447	0.0
did:plc:22ki64hr3mwl76tdm5fihtwa	0.00413799516484559	1.0166888626133392	663.9420798723382	0.0
did:plc:22l2f42mh7a6j7f7xipadv5c	0.00500000000014327	0.6244146081206339	1629.7338597594403	0.0
did:plc:22p7bdpxxqvmgd2ryo2xilv3	0.00296565401953192	0.7695452262102959	796.0414818287339	0.0
did:plc:22rxwfvurvf2lf2fdnolu7qn	0.0031085955606079	0.6856121078618403	1079.08315554543	0.0
did:plc:22s6gpysdavr4ixmnh3yjady	0.00518499551978091	0.6534986647626345	2615.382233497504	0.0
did:plc:22wzxzockhgchm7cipifyzud	0.00520441005336287	0.5009720031811743	4031.9760393592724	0.0
did:plc:2326ikh2klykgjdip5ldxwyf	0.00329540996479548	1.5212143791620398	301.8572592515004	0.0
did:plc:232aug64tr27vmannteyirsf	0.00226169601790401	0.798018610083061	2240.25859310452	0.0
did:plc:235q5blezrqmip7ryetmkm3g	0.0125385406016568	0.8113013583019224	1801.337725522251	0.0
did:plc:237o7l3ztanydbqwvodh2nzx	0.00594126634060187	-0.350028468235341	20966.050797976	0.0
did:plc:23ekqdl3e23tv2edijeg3zl3	0.00303055123283167	2.1087170473614525	238.9121949737612	0.0
did:plc:23jbx3mbesh2ghfcecaxsk6p	0.00550133096984689	0.7460728499902639	1799.2005696356646	0.0
did:plc:23r2vd3rv2wqt4zig5f4ga6i	0.00770969028794747	0.622362994152549	3484.64489733147	0.0
did:plc:23uckdtolkpkeawkqqv4gesn	0.00377404431492439	-0.543755753676885	30514.9115819936	0.0
did:plc:23w52iqqcuqagkq75nponvvd	0.00319547717134313	1.4205376123986804	430.12382103796534	0.0
did:plc:23xqynsp3c4qiwtymmr7za3z	0.01084745763572	-0.258454842395615	17708.0351562489	0.0
did:plc:23zkqaa7skezjr4tn3bmnobm	0.00281590989105306	1.9968631307591491	362.09665911228365	0.0
did:plc:242zcyjymk6qx7skkbgnzjdx	0.00619578686679806	-0.267491066585913	19632.8819126963	0.0
did:plc:245mjiyeqcjbbdwwqh6rzjeg	0.00330480008678581	1.722246818938188	371.1187938162347	0.0
did:plc:246mrnhvbqjn2x66sbrf67pc	0.0123813454406932	-0.52038837657818	27195.5210115991	0.0
did:plc:247olvouqkgrpfyvff3ttne4	0.00869025450366566	0.5538401986942965	2762.0028539476116	0.0
did:plc:24evf5f3ix2xjzwbcclvfion	0.00712903554455465	0.785700342658839	2431.08276688321	0.0
did:plc:24h5bitxlhy26f6nt7vml2ku	0.0100709764158981	0.6055064767177989	2088.729596121524	0.0
did:plc:24hcjsifju5hmayjyhfrazl6	0.00623096095301159	0.9072432347954668	2623.569846294832	0.0
did:plc:24k7ubcs4bo427toadm2sa3o	0.0058085501881435	0.46570375062475095	3759.538745069114	0.0
did:plc:24ldhpseacji6xmfxbfhs5di	0.0148448043191581	0.6533218882409767	6350.62410226959	0.0
did:plc:24ptdybi7sppuzajjpt5kweq	0.00430130944949607	0.6676571192128044	701.3061376475413	0.0
did:plc:24t2qp2bdyiwths7kwc5bnu7	0.00385405960977353	0.13427411335255873	10653.68298364806	0.0
did:plc:25ah7xhjr5gmdzkkglyhvswv	0.00247308336044705	1.7237870846271937	318.3205084864444	0.0
did:plc:25bss4vvop3afumaa34imntl	0.00405929304582589	0.338397305032641	4354.60685724474	0.0
did:plc:25q77tetkpce6vmvf2s42xuv	0.00501196888162076	0.7548825876509746	2310.377472819079	0.0
did:plc:25rd6ldv7ib7emnf3rkhj2wo	0.00537430107000655	0.6761142475694911	1647.180789945084	0.0
did:plc:25shgfpev7lvcyxcfrhqlb5p	0.0034541539566657	0.6113035045630889	2415.5275921201383	0.0
did:plc:25v4xkavm2l6ywhrhvxd5ulh	0.00658343566808297	0.5641208095051558	1355.2004499633742	0.0
did:plc:25waj567vbwphpyqogvybo6n	0.00535392779595264	0.613457817015947	1220.17139388251	0.0
did:plc:2625uhorvnx3ffwrhxgpvqei	0.00479373438741915	0.5555764916398036	4055.4258248576302	0.0
did:plc:263v334x6j4o7s6ubcs64nvw	0.00363103883464058	0.5430542731666058	365.9355400460672	0.0
did:plc:26455do766xt5szw6vefeyea	0.0075445816237969	0.842343270484909	2387.452968783924	0.0
did:plc:26gca2kzr6cja7scxc6cwkhl	0.0127134035864295	0.10585094635572	11393.4844386781	0.0
did:plc:26iceabuxrwrtfd5ellhb2il	0.00226618142854398	1.1157878052867478	331.9879536402035	0.0
did:plc:26kj7nsaiszgotouogevr72x	0.00672861262561244	0.7160008370062618	3751.550262665461	0.0
did:plc:26sbxzohg4guy576av26ibv6	0.00400452685672922	0.454755779945931	7307.36216706324	0.0
did:plc:26vueans7oxgasv6qh2hww7e	0.0109890109972831	-0.15245772527144	19612.969768034	0.0
did:plc:26xlggwzdjp2crlokirmhrut	0.00423497267783374	1.4192860476146134	844.8970030300763	0.0
did:plc:26xwwf22fokztawg2ycu5oxk	0.00396191005798325	0.456913532788418	6109.3388364428	0.0
did:plc:274gpscwjor6tckijzrfktpa	0.00576588337731369	0.9119752385510984	2070.6642074557953	0.0
did:plc:27a5dltk3wobbvfawddfjilu	0.00389161141545526	1.2294989147712043	331.52882609780863	0.0
did:plc:27ax657y35lxubn7unbyom5o	0.00614884444321302	0.7569884877005977	1632.0303407411316	0.0
did:plc:27chcfilk5li2bbtrl27bkuv	0.00508297204706009	0.8487427557746933	1201.2777309276355	0.0
did:plc:27fydzae3e7wrrzhvjee7z44	0.00725012946775733	0.9848659092797525	1706.9695823966238	0.0
did:plc:27ickft55ghqs2gntdyldclu	0.00792507205054075	0.561141388261269	7115.1208617068	0.0
did:plc:27xjsn6hxvxpyc7ifxzl4gx6	0.00795755968257298	0.5412145838095469	8576.374685808487	0.0
did:plc:27xni63y4scphquqbz33azgm	0.00245489137131981	1.7185233865923732	329.1570755888867	0.0
did:plc:2a3oeljvzf65xlxqn2i53ky5	0.00608149199467683	0.7680157792890785	2052.996537934435	0.0
did:plc:2abosfdab7xpd6ju2e4x3lxl	0.00333320261960495	0.364754830237824	4028.53097380552	0.0
did:plc:2aflqvdg67ior4zn26cyc6eu	0.00503966402309778	0.609897425206949	1213.7329224607643	0.0
did:plc:2akgxkt553fpoexbvqwmsk7z	0.00781134856763556	0.92800559291836	1867.2310533064926	0.0
did:plc:2amu7xjnhllz46smhfyt6wq6	0.00699677072249701	0.11843961498834692	7976.2353113176905	0.0
did:plc:2aph2py23xme2itms2pyh746	0.00386264436664925	0.5897557779643613	2505.2911282128894	0.0
did:plc:2aug7uk54red5t2m3lc4zbkd	0.00491677749642155	0.5483152049175467	1467.441318413006	0.0
did:plc:2b23z3doihjcnjo25o7ycbd3	0.00338682364372953	0.6906327030683271	2807.224627163803	0.0
did:plc:2b2ioadw2nveamkshsmshoxt	0.00475543478344351	0.427087142798091	2313.20198638175	0.0
did:plc:2b5l4q56fxrfeezmfie5ltln	0.00254547382939399	2.1360312761947107	291.35510427670323	0.0
did:plc:2baxokqqpkbjbcbiyrjhoi53	0.00337265482886797	0.705533106983348	808.026799777855	0.0
did:plc:2bbhmhs6yf6to6fasju3fpje	0.00393507132346619	0.3699015525833102	7501.601674961652	0.0
did:plc:2bekiznp3oeiiqo6in62aj5j	0.00708306503665973	0.547994455834223	2006.7040685063	0.0
did:plc:2bkoitufiujcstv4kjlvunvn	0.00566518742573282	0.6795875002644973	1938.7512217163555	0.0
did:plc:2bm5e26ylultfkuipciftn6q	0.00634623387605908	0.8157516990184828	1534.6838305500207	0.0
did:plc:2bngao2ye4nigkpdwfgz6w5c	0.00697056871119772	0.553205454296668	2355.44194591463	0.0
did:plc:2bryx35cx6wd37m32cwopywm	0.00505923001056273	1.7197509449573976	502.73146541348876	0.0
did:plc:2bs3pofrsn6zhpx52fo46cin	0.015461925012626	0.3393892678908916	6593.8489641585675	0.0
did:plc:2bxai7p5qh2muts7jxqbec3l	0.00265415240240493	0.8229814018655017	2699.1563902998423	0.0
did:plc:2c4ip4psx2kifesxfuwmghdz	0.00807017544279154	0.471004902584213	3590.91108294374	0.0
did:plc:2c7us7rlpbqonns6ytkqhpig	0.00478854140182025	0.5882532176009341	1585.192215292146	0.0
did:plc:2cedbsiusgr5i6bekluiioyv	0.00674942750535707	0.8290042217751807	1662.9449721463907	0.0
did:plc:2cg2jbl3sdsoqa5bqlc44ckv	0.0069739751658967	0.733449099944176	2164.81234097168	0.0
did:plc:2chpmawjehtowruvstatifoc	0.00434835864881954	0.721575624244245	917.9274000212763	0.0
did:plc:2clmyjkkcw5ivwbjhqj4ws4y	0.00427306948848071	1.2483421706162856	577.8360665604179	0.0
did:plc:2cmyhsamy2ym74njyd347hrt	0.00338253382543362	-0.510908051690235	27656.6038970331	0.0
did:plc:2cp6ulfaveskvsrbnpj6t6br	0.0179682101369998	0.19563904067564036	6996.70118587695	0.0
did:plc:2cpdwg52rsjlujdjawof3fou	0.00315550011019405	0.9410570454578533	905.6635220978568	0.0
