did	rate
did:plc:22427wgugtnma5atrphexl6r	0.00401638685866244
did:plc:22623k3aqlwnyhwqjn3vuih2	0.00334021023686114
did:plc:227vw3i53t4yadw5r5pzlqsq	0.00288666059027028
did:plc:22cwcdri47aumyf3b63euox4	0.00360591466847739
did:plc:22cywgx5tbs5kv6uw7uwycol	0.0064844023850817
did:plc:22fdhaphsekbpffoqc56juv6	0.00464265616296926
did:plc:22g76b5uv7d7gpsriovic5sy	0.00356806581139556
did:plc:22h3qsbguh3whzswkzyegdcj	0.00402179553738339
did:plc:22if6oh2k7owt6c7xe5agdgg	0.00386922035241345
did:plc:22jxirit5lr6rz7qd6oq5h4o	0.00653739612346976
did:plc:22kb2wlv7eltj7qoxhcqjyej	0.00716042635201714
did:plc:22klexvq3oywxvy3etxnpg45	0.0144575385918093
did:plc:22l22puyblrsndikg62kvu67	0.00350618195281621
did:plc:22ovnr4fqpypt2yofs3irhvb	0.00273286267383712
did:plc:22u73jykg7lcwuu3trs7uslg	0.00382855542068719
did:plc:22wudtfk2tnqz7weotbh46jc	0.0022160106772158
did:plc:22xmc3vkgoc7jhb37kn7o3qf	0.00547945205533653
did:plc:22xovbqphia5nspztzwgpovq	0.00348354106786883
did:plc:22znwgj3pukbswvtt5jdglku	0.00250657210984926
did:plc:236as46ff3xbu74qmtvmd7e4	0.00774850565008307
did:plc:23c75wqtznhjint2655cgtr6	0.00422237860662467
did:plc:23clymuvyozhubpmjxq6pxjf	0.00364385297883221
did:plc:23dwhcksgk2pzqcpphubzmbr	0.00316188870210631
did:plc:23eubao7xzvio5rvaa3i3gcf	0.00638556659404045
did:plc:23gva7goojtw5inw44qxmnao	0.00215949742613356
did:plc:23jp7i2vjxkiwozrdxqqxdoa	0.00348707151829679
did:plc:23kbvocd2gxobaiylpshyx2q	0.00279676817902782
did:plc:23lchhk5yik7kpi6hlhx4fnd	0.00262841694223578
did:plc:23m6a3fuabc455i4cqebxxet	0.00360440116391744
did:plc:23mhm63ih7mb4lmxjkkpnohf	0.00349544072991384
did:plc:23ml2igbg2saidkmqcfwqqyi	0.00741381441293281
did:plc:23n6gp6n6gfazxtbrlj56g5q	0.00264874675042135
did:plc:23nedvtw6mena5sg35sqrhlg	0.00652818991257212
did:plc:23oikfxvtcfpgyluf43gzpu4	0.00550364776707774
did:plc:23pokdas7wf6rgvbd2vmtujc	0.00346944222088368
did:plc:23q74bxwfupguvz6y6w3qmim	0.00219949836009843
did:plc:23qpnx3shcgi3dyfs6jakujc	0.00380757120923424
did:plc:23qwiudwp5emckzhzr4duqwg	0.00498675393558267
did:plc:23rjhnmtiay5whohlg3fijdf	0.00238578843865588
did:plc:23s266os6c3sk7zqkph2mrye	0.00425716141159156
did:plc:23suazjai3z2td7xbo4tgmex	0.0118644067862292
did:plc:23xiady45gajlf6nwlj2k2kj	0.00228165800488356
did:plc:23xwlwlqowgi6s5kxqhlqhm7	0.00743614613665196
did:plc:23yiaw23p6j4toay33qd654x	0.00495575221312539
did:plc:23yu5pv567wwqrur6mmimfuo	0.00353584056614996
did:plc:23z3dumz3tnh4jat377afesb	0.00573107301334492
did:plc:23zfas5o6aufneieinzh2cq6	0.00293126684651054
did:plc:2444wwiqjkcawdm7bzp2ubnw	0.00250540940672275
did:plc:244mxmy2yqnocx7riuix5554	0.0123372172779439
did:plc:247toqmkjkyamn5omb3s5e4b	0.00208397389917105
did:plc:24ao2x37qgmtljivofesksm5	0.00451537563351995
did:plc:24ar6kylzimblkkh4wcjyqf6	0.0030499803228394
did:plc:24cg7hkluqerc6r7ilhtz2au	0.00270270270274134
did:plc:24fquv4kxggresttyapsdsq2	0.0046387682598821
did:plc:24hrrqn4dguvfpdjqn4lb66i	0.00397971127613688
did:plc:24ik3hzjagjqqh32oj4yyjs3	0.00533172808245683
did:plc:24kumidrp3rqvpxhbzokxrud	0.00715361445903899
did:plc:24lw4vik3unsaktcpzjgk63d	0.00344243792370206
did:plc:24qf5hng42rm3usgwosfe2ff	0.00236034618416674
did:plc:24tgzfseosu2hgaziy5s7sva	0.00378271387761886
did:plc:24vfqtuzycrtc25sxhlqjbmw	0.00282982791603692
did:plc:24wahbldlr5nvspf6n5itbj7	0.00482625482705278
did:plc:2525nulo7kyg4dyiwmehzmrv	0.00330973614058197
did:plc:252sqvmpj54bxuwfmwcqnrc6	0.00270797909207434
did:plc:254e7v2a6b7pl5tmxpwshq6o	0.00620328849214339
did:plc:256l2xxvw5djc2x5icb7ldgp	0.00495562982671279
did:plc:256umkw3pgvjpspbdda7kt36	0.00725190839810541
did:plc:257uy56zphfyj46qw2bdjbjw	0.00606360598943745
did:plc:25c7qb5pz5ddk5uagpyqt3dn	0.00717658168202699
did:plc:25cjmclj5qgyouownzwziehp	0.00289114502805891
did:plc:25efpgwz6wy7s56cs23sammh	0.00215710947338605
did:plc:25g6ppapg7p453fyzsgqaorr	0.00486223662962934
did:plc:25gqtnpngvbqf6dqzdktnzb2	0.00385862649348238
did:plc:25j2c4ij5553gnpgealthc56	0.00346120565374649
did:plc:25nfi5itns3assobn5lj274j	0.00380934683671381
